index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:24,079","00:00:24,429",speaker_0,భవ్యాయ,bhavyaaya
2,"00:00:26,500","00:00:26,850",speaker_0,వేంకటేశాయ,venkateshaaya
3,"00:00:30,529","00:00:33,359",speaker_0,సప్తశైల నివాసిని,sapthashaila nivaasini
4,"00:00:36,229","00:00:38,439",speaker_0,భవ్యానంద విలాసాయ,bhavyaanandha vilaasaaya
5,"00:00:40,399","00:00:40,750",speaker_0,నమస్తస్మై,namasthasmai
6,"00:00:43,609","00:00:45,840",speaker_0,నమో నమః,namo namah
7,"00:01:28,260","00:01:30,449",speaker_1,రేయ్ కిరణ్ అట్ట ఫోన్ లో గేమ్ లు ఆడుకోకపోతే,rey kiran atta phone lo game lu aadukokapothe
8,"00:01:31,260","00:01:33,040",speaker_1,ఏవైనా మంచి దేవుడి పాటలు పెట్టొచ్చు కదరా,yevainaa manchi dhevudi paatalu pettochhu kadharaa
9,"00:01:40,260","00:01:40,579",speaker_1,పద్మా,padhmaa
10,"00:01:41,219","00:01:41,319",speaker_2,ఆ,aa
11,"00:01:41,319","00:01:42,589",speaker_1,ఆదిలక్ష్మి ఏం చెమ్మిందే అసలు,aadhilaksha్mi yem chemmindhe asalu
12,"00:01:43,040","00:01:44,069",speaker_1,కసువంతా అక్కడే పడిచచ్చింది.,kasuvanthaa akkade padichachhindhi.
13,"00:01:44,879","00:01:47,289",speaker_1,ఇంకోసారి చెమ్మించు. పండల రావాళ్ళు ఇంకా టిఫిన్ త్యాలా,inkosaari chemminchu. pandala raavaallu inkaa tiphin thyaalaa
14,"00:01:47,500","00:01:47,849",speaker_1,ఏడవుతుంటే,yedavuthunte
15,"00:01:48,420","00:01:49,000",speaker_1,ఒకసారి phone చెయ్.,okasaari phone chey.
16,"00:01:49,079","00:01:51,509",speaker_2,ఆ పనులన్నీ నేను చూసుకుంటా కానీ అక్కడ ఆవు పేడ వెయ్యట్లేదంట,aa panulannee nenu choosukuntaa kaanee akkada aavu peda veyyatledhanta
17,"00:01:52,079","00:01:52,840",speaker_2,దాంతంగా చూడండి.,dhaanthangaa choodandi.
18,"00:01:52,959","00:01:55,760",speaker_1,ఇంకొకడిని పంపదెగా నీకు ఎన్నిసార్లు చెప్పినా ఇప్పుడు ఈ పనికి పో,inkokadini pampadhegaa neeku yennisaarlu cheppinaa ippudu ee paniki po
19,"00:01:55,810","00:01:57,560",speaker_1,ఆవు పాడకి ఎంత time అయిపోతుంది.,aavu paadaki yentha time ayipothundhi.
20,"00:01:58,560","00:02:02,109",speaker_1,ఏంది ఇయ్యాల ఇది వేస్తదా పేడ అవతల time దాటిపోతా ఉంటే ఇంకా పేడ వెయ్యకపోతే,yendhi iyyaala idhi vesthadhaa peda avathala time dhaatipothaa unte inkaa peda veyyakapothe
21,"00:02:02,159","00:02:03,979",speaker_1,ఎట్ట సరిగ్గా మేత పెట్టావా అసలు.,yetta sariggaa metha pettaavaa asalu.
22,"00:02:04,200","00:02:05,109",speaker_3,ఏంది ఆయన్ని అట్ట మాట్లాడతారు.,yendhi aayanni atta maatlaadathaaru.
23,"00:02:05,980","00:02:06,920",speaker_3,రీతిగా పెట్టా రాత్రే.,reethigaa pettaa raathre.
24,"00:02:07,500","00:02:07,950",speaker_1,రేయ్ కిరణ్,rey kiran
25,"00:02:08,460","00:02:09,169",speaker_1,ఎక్కడికి రా పోతున్నావ్.,yekkadiki raa pothunnaav.
26,"00:02:09,319","00:02:11,330",speaker_3,పెదనాన్న అర్ధ సెంటు పెదనాన్న బాత్రూం కి వెళ్ళాలి.,pedhanaanna ardha sentu pedhanaanna baathroom ki vellaali.
27,"00:02:11,439","00:02:12,329",speaker_1,ఆవు పేడ వేసేదాకా,aavu peda vesedhaakaa
28,"00:02:12,520","00:02:13,609",speaker_1,పైన బాత్రూమ్ లు వాడకూడదు.,paina baathroom lu vaadakoodadhu.
29,"00:02:14,039","00:02:14,629",speaker_1,కిందికి పో,kindhiki po
30,"00:02:14,979","00:02:17,489",speaker_1,పేడ వెయ్యకపోతే ఏదో పుల్ల పెట్టి పొడుస్తారు కదా పొడు.,peda veyyakapothe yedho pulla petti podusthaaru kadhaa podu.
31,"00:02:18,020","00:02:18,370",speaker_3,అయ్యో,ayyo
32,"00:02:18,860","00:02:19,930",speaker_3,అట్ట గదిరితే ఎట్ట అండి.,atta gadhirithe yetta andi.
33,"00:02:20,319","00:02:21,300",speaker_3,దానికి వచ్చినప్పుడు వేస్తది.,dhaaniki vachhinappudu vesthadhi.
34,"00:02:21,580","00:02:23,939",speaker_1,దానికి వచ్చినప్పుడు వేసే కాడికి నీకు డబ్బులు ఇయ్యడం ఎందుకయ్యా,dhaaniki vachhinappudu vese kaadiki neeku dabbulu iyyadam yendhukayyaa
35,"00:02:24,020","00:02:24,370",speaker_1,దండగ.,dhandaga.
36,"00:02:24,900","00:02:26,129",speaker_1,అవతల ముహూర్తం time దాటిపోతుంటే.,avathala muhoortham time dhaatipothunte.
37,"00:02:27,360","00:02:29,629",speaker_3,ఇంక అట్ట అంటే ఏం చెప్తాం. మీరు ఇప్పుడు తింటే ఎప్పుడు తొట్టికి,inka atta ante yem chepthaam. meeru ippudu thinte yeppudu thottiki
38,"00:02:29,680","00:02:30,370",speaker_3,పోతారో చెప్పగలరా?,pothaaro cheppagalaraa?
39,"00:02:30,800","00:02:31,289",speaker_1,ఎందుకు చెప్పలేను,yendhuku cheppalenu
40,"00:02:31,819","00:02:32,169",speaker_1,పొద్దున్నే,podhdhunne
41,"00:02:32,319","00:02:33,599",speaker_1,ఎనిమిది గంటలకు వచ్చేస్తది నాకు.,yenimidhi gantalaku vachhesthadhi naaku.
42,"00:02:34,000","00:02:35,629",speaker_3,ఆ మరి దాన్నే అడగండి దానికి ఎప్పుడొస్తదో.,aa mari dhaanne adagandi dhaaniki yeppudosthadho.
43,"00:02:36,060","00:02:38,259",speaker_4,ఇయన్నీ ముందు చూసుకోవాలి కదా. బాబాయ్ డబ్బులివ్వక్క ఈడికి.,iyannee mundhu choosukovaali kadhaa. baabaay dabbulivvakka eediki.
44,"00:02:39,090","00:02:39,549",speaker_3,ఆ ఆవును,aa aavunu
45,"00:02:39,599","00:02:40,409",speaker_3,తెచ్చేశాక డబ్బులియ్యకపోతే,thechheshaaka dabbuliyyakapothe
