index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,జయ,jaya
2,"00:00:13,500","00:00:13,849",speaker_0,శ్రీనివాస,shreenivaasa
3,"00:00:14,419","00:00:15,109",speaker_0,జయ వేంకటేశ,jaya venkatesha
4,"00:00:15,640","00:00:16,310",speaker_0,వృష శైలనాథ,vrusha shailanaatha
5,"00:00:16,899","00:00:17,570",speaker_0,శ్రీ పద్మనాభ,shree padhmanaabha
6,"00:00:18,140","00:00:18,490",speaker_0,వైకుంఠనాథ,vaikuntanaatha
7,"00:00:19,379","00:00:20,970",speaker_0,జయ విష్ణు తేజ రాజాధిరాజ,jaya vishnu theja raajaadhiraaja
8,"00:00:21,789","00:00:22,480",speaker_0,తవ జయ,thava jaya
9,"00:00:23,079","00:00:23,719",speaker_0,జయ జయ.,jaya jaya.
10,"00:00:24,709","00:00:26,210",speaker_0,వేదాని దేవ జయ వాసుదేవ,vedhaani dheva jaya vaasudheva
11,"00:00:26,780","00:00:27,130",speaker_0,శ్రీరామచంద్ర,shreeraamachandhra
12,"00:00:28,019","00:00:31,679",speaker_0,జయ కల్కి రూప శౌరీశ భోద ధేరిని నాథ జయ,jaya kalki roopa shaureesha bhodha dherini naatha jaya
13,"00:01:04,680","00:01:05,159",speaker_0,జయ జయ జయ జయ జయ.,jaya jaya jaya jaya jaya.
14,"00:01:06,780","00:01:08,229",speaker_1,ఎవరి కథ అయినా అమ్మతోనే మొదలవుతుంది.,yevari katha ayinaa ammathone modhalavuthundhi.
15,"00:01:10,159","00:01:11,159",speaker_1,అలాగే నా కథ కూడా.,alaage naa katha koodaa.
16,"00:01:13,400","00:01:13,760",speaker_2,చిన్ను,chinnu
17,"00:01:16,010","00:01:17,709",speaker_2,నిజమైన కోపం అంటే ఏంటో తెలుసా?,nijamaina kopam ante yento thelusaa?
18,"00:01:29,070","00:01:30,129",speaker_2,ఏంటిది చిన్న పిల్లోడిలా?,yentidhi chinna pillodilaa?
19,"00:01:33,700","00:01:34,549",speaker_2,డాక్టర్ ఏం చెప్పాడు?,doctor yem cheppaadu?
20,"00:01:36,239","00:01:38,669",speaker_2,నువ్వేం చేసినా రెండు నెలలకు మించి కష్టమని,nuvvem chesinaa rendu nelalaku minchi kashtamani
21,"00:01:38,959","00:01:39,309",speaker_2,చెప్పాడుగా.,cheppaadugaa.
22,"00:01:41,400","00:01:41,640",speaker_2,మరి?,mari?
23,"00:01:43,599","00:01:46,329",speaker_2,నీ తాహతుకు మించి నువ్వు చేయాల్సింది చేశావ్.,nee thaahathuku minchi nuvvu cheyaalsindhi cheshaav.
24,"00:01:48,099","00:01:48,929",speaker_2,ఇంకేం చేస్తావ్?,inkem chesthaav?
